MATCH:  A =  5828647, B =  7568837, M = 12531843, mu = 171, Z =    6587465, golden =         6587465
MATCH:  A =  4382404, B =  3259208, M = 10712435, mu = 200, Z =    8779657, golden =         8779657
MATCH:  A =  8850248, B =   401609, M =  8992953, mu = 238, Z =     477124, golden =          477124
MATCH:  A =  3779611, B =   157695, M = 12767161, mu = 168, Z =    3612521, golden =         3612521
MATCH:  A =  3943448, B =  5658994, M = 12724557, mu = 168, Z =    2241422, golden =         2241422
MATCH:  A =  1204331, B = 13405663, M = 16001491, mu = 134, Z =    7168584, golden =         7168584
MATCH:  A = 13671273, B =  2339871, M = 14423039, mu = 148, Z =   12797293, golden =        12797293
MATCH:  A =  1627659, B =  3081325, M = 10245541, mu = 209, Z =     365560, golden =          365560
MATCH:  A =  1237110, B = 15419669, M = 16333695, mu = 131, Z =   14666295, golden =        14666295
MATCH:  A =  2451855, B =  1617832, M = 12914113, mu = 166, Z =    3443393, golden =         3443393
MATCH:  A = 13471224, B = 14785458, M = 16257557, mu = 132, Z =    8906981, golden =         8906981
MATCH:  A =  1835593, B =  4075374, M =  9078089, mu = 236, Z =    1371044, golden =         1371044
MATCH:  A =  3629961, B =  1379063, M =  9570081, mu = 224, Z =    7796901, golden =         7796901
MATCH:  A =  2808588, B =  5598355, M = 12936443, mu = 166, Z =    2392820, golden =         2392820
MATCH:  A = 13478865, B =  5454168, M = 15026343, mu = 142, Z =    1716738, golden =         1716738
MATCH:  A = 10092576, B =  2044637, M = 12654863, mu = 169, Z =    1963962, golden =         1963962
MATCH:  A =  3551193, B =  1775485, M = 12267577, mu = 175, Z =    9225954, golden =         9225954
MATCH:  A = 11368522, B =  6590064, M = 12480537, mu = 172, Z =    9294015, golden =         9294015
MATCH:  A =  4134323, B =  9785110, M = 12054957, mu = 178, Z =    9112682, golden =         9112682
MATCH:  A =  2311914, B = 12060548, M = 15468035, mu = 138, Z =    6921277, golden =         6921277
MATCH:  A =  4355030, B =  1361278, M =  9702275, mu = 221, Z =    6030540, golden =         6030540
MATCH:  A =  4103932, B =  7844288, M = 15579075, mu = 137, Z =   10909316, golden =        10909316
MATCH:  A =  5431920, B =  4726354, M = 16592469, mu = 129, Z =   14570298, golden =        14570298
